Distance to edge[mm];ERF values;PSF values;
-0,214484;0,0161038;0,097143;
-0,214152;0,0156767;0,0875115;
-0,21382;0,0159056;0,0782324;
-0,213488;0,0151013;0,0702798;
-0,213157;0,0156384;0,0623403;
-0,212825;0,0149398;0,0539746;
-0,212493;0,0142228;0,0463796;
-0,212161;0,0147072;0,0405106;
-0,21183;0,014017;0,0359992;
-0,211498;0,0134665;0,0330481;
-0,211166;0,0121884;0,0313208;
-0,210834;0,0107939;0,0302679;
-0,210503;0,010951;0,03134;
-0,210171;0,00966948;0,0348908;
-0,209839;0,00955546;0,0396499;
-0,209507;0,00877604;0,0458215;
-0,209176;0,00792494;0,0538831;
-0,208844;0,00714552;0,0627436;
-0,208512;0,00623376;0,072952;
-0,20818;0,00588634;0,0832977;
-0,207848;0,0060058;0,0940829;
-0,207517;0,00647683;0,10481;
-0,207185;0,0066659;0,115529;
-0,206853;0,00681629;0,125772;
-0,206521;0,00584401;0,136529;
-0,20619;0,00565415;0,14791;
-0,205858;0,00694757;0,159697;
-0,205526;0,00688011;0,171215;
-0,205194;0,00668387;0,18207;
-0,204863;0,00648707;0,192656;
-0,204531;0,00610441;0,202731;
-0,204199;0,00668488;0,211715;
-0,203867;0,00898302;0,219701;
-0,203536;0,0104299;0,226543;
-0,203204;0,0106748;0,232583;
-0,202872;0,0112026;0,236891;
-0,20254;0,0121164;0,240622;
-0,202209;0,0135535;0,242383;
-0,201877;0,0154722;0,243284;
-0,201545;0,0156348;0,24283;
-0,201213;0,0160529;0,241155;
-0,200882;0,0175516;0,238109;
-0,20055;0,0178095;0,235037;
-0,200218;0,0174604;0,231192;
-0,199886;0,0174152;0,226374;
-0,199554;0,017807;0,221592;
-0,199223;0,0185312;0,216633;
-0,198891;0,0192058;0,210693;
-0,198559;0,0189009;0,204453;
-0,198227;0,0198604;0,196805;
-0,197896;0,0211589;0,187556;
-0,197564;0,0207701;0,177593;
-0,197232;0,0213543;0,167852;
-0,1969;0,0214756;0,1583;
-0,196569;0,0218906;0,148064;
-0,196237;0,0219434;0,137528;
-0,195905;0,0220573;0,126921;
-0,195573;0,0214347;0,116704;
-0,195242;0,0223609;0,106711;
-0,19491;0,0215855;0,0974409;
-0,194578;0,0218804;0,0873118;
-0,194246;0,021729;0,0774481;
-0,193915;0,0211859;0,0681122;
-0,193583;0,0199606;0,0593327;
-0,193251;0,0201203;0,0510275;
-0,192919;0,0197435;0,0429521;
-0,192587;0,0203943;0,0348587;
-0,192256;0,0193806;0,0278268;
-0,191924;0,0200516;0,0216022;
-0,191592;0,0178999;0,0156148;
-0,19126;0,0170629;0,0118304;
-0,190929;0,0167066;0,00959881;
-0,190597;0,0151686;0,00863945;
-0,190265;0,0141074;0,00883575;
-0,189933;0,0137033;0,0104551;
-0,189602;0,0120549;0,0125833;
-0,18927;0,011322;0,0158785;
-0,188938;0,011264;0,0202979;
-0,188606;0,0103617;0,0259502;
-0,188275;0,00974553;0,0331624;
-0,187943;0,00877139;0,0411152;
-0,187611;0,0073414;0,0500733;
-0,187279;0,00683635;0,0586368;
-0,186948;0,00662085;0,0677359;
-0,186616;0,0063472;0,0764044;
-0,186284;0,00714767;0,0862502;
-0,185952;0,00695545;0,0960083;
-0,18562;0,00702678;0,106037;
