[mm⁻¹];MTF values[%];MTF 10 values[%];
324,721;0,0429588;10;
326,555;0,0555491;10;
328,39;0,0620435;10;
330,224;0,0818816;10;
332,059;0,0706855;10;
333,894;0,0325256;10;
335,728;0,0381289;10;
337,563;0,0604139;10;
339,397;0,0501705;10;
341,232;0,0544731;10;
343,066;0,0216748;10;
344,901;0,0324208;10;
346,736;0,0366534;10;
348,57;0,0355743;10;
350,405;0,0330113;10;
352,239;0,0285133;10;
354,074;0,0311514;10;
355,909;0,0236026;10;
357,743;0,0263853;10;
359,578;0,0612629;10;
361,412;0,057776;10;
363,247;0,0700925;10;
365,081;0,0380645;10;
366,916;0,00973637;10;
368,751;0,0400815;10;
370,585;0,0441969;10;
372,42;0,0377425;10;
374,254;0,0423832;10;
376,089;0,0490048;10;
377,923;0,0479852;10;
379,758;0,039271;10;
381,593;0,0439855;10;
383,427;0,0459935;10;
385,262;0,0215373;10;
387,096;0,008734;10;
388,931;0,0415694;10;
390,766;0,0368066;10;
392,6;0,0618691;10;
394,435;0,0372965;10;
396,269;0,0419193;10;
398,104;0,0363269;10;
399,938;0,0427633;10;
401,773;0,0208655;10;
403,608;0,0315318;10;
405,442;0,0318403;10;
407,277;0,0267914;10;
409,111;0,0344965;10;
410,946;0,0205181;10;
412,781;0,0264728;10;
414,615;0,0280326;10;
416,45;0,0311719;10;
418,284;0,021;10;
420,119;0,0482249;10;
421,953;0,026112;10;
423,788;0,0245282;10;
425,623;0,0141422;10;
427,457;0,0407134;10;
429,292;0,0450819;10;
431,126;0,0412763;10;
432,961;0,0289533;10;
434,795;0,0313057;10;
436,63;0,0284654;10;
438,465;0,0241625;10;
440,299;0,0147277;10;
442,134;0,0354369;10;
443,968;0,0249059;10;
445,803;0,0129107;10;
447,638;0,026298;10;
449,472;0,0419869;10;
451,307;0,0248048;10;
453,141;0,040044;10;
454,976;0,0493624;10;
456,81;0,0507617;10;
458,645;0,0404464;10;
460,48;0,0303554;10;
462,314;0,0285886;10;
464,149;0,0216332;10;
465,983;0,0322363;10;
467,818;0,0265125;10;
469,652;0,048799;10;
471,487;0,0239061;10;
473,322;0,0265735;10;
475,156;0,0319402;10;
476,991;0,0586304;10;
478,825;0,0695694;10;
480,66;0,0164158;10;
482,495;0,0267803;10;
484,329;0,0135095;10;
486,164;0,0300957;10;
487,998;0,0247495;10;
489,833;0,0270656;10;
491,667;0,0263071;10;
493,502;0,0344449;10;
495,337;0,0297199;10;
497,171;0,0235727;10;
499,006;0,0348886;10;
500,84;0,0305589;10;
502,675;0,024534;10;
504,51;0,00437854;10;
506,344;0,0267328;10;
508,179;0,0422607;10;
510,013;0,0271914;10;
511,848;0,0265947;10;
513,682;0,0333302;10;
515,517;0,0310072;10;
517,352;0,0315778;10;
519,186;0,0316689;10;
521,021;0,0179883;10;
522,855;0,0478172;10;
524,69;0,00186959;10;
526,524;0,0578884;10;
528,359;0,0229325;10;
530,194;0,0417614;10;
532,028;0,0253819;10;
533,863;0,0230104;10;
535,697;0,0413414;10;
537,532;0,027341;10;
539,367;0,0277815;10;
541,201;0,0361321;10;
543,036;0,0352144;10;
544,87;0,0307215;10;
546,705;0,0326671;10;
548,539;0,0297752;10;
550,374;0,0274326;10;
552,209;0,0271574;10;
554,043;0,0373637;10;
555,878;0,0494702;10;
557,712;0,0287066;10;
559,547;0,0301048;10;
561,381;0,0305566;10;
563,216;0,0192607;10;
565,051;0,0270332;10;
566,885;0,0390817;10;
568,72;0,0210351;10;
570,554;0,0253731;10;
572,389;0,0245697;10;
574,224;0,0261826;10;
576,058;0,0151278;10;
577,893;0,0372206;10;
579,727;0,0262276;10;
581,562;0,054401;10;
583,396;0,0170313;10;
585,231;0,0237441;10;
587,066;0,0312731;10;
588,9;0,0300884;10;
590,735;0,0238045;10;
592,569;0,0298466;10;
594,404;0,033682;10;
596,239;0,0198015;10;
598,073;0,0269432;10;
599,908;0,0281388;10;
601,742;0,0257914;10;
603,577;0,0288376;10;
605,411;0,0251974;10;
607,246;0,0177551;10;
609,081;0,0275703;10;
610,915;0,0387763;10;
612,75;0,0343004;10;
614,584;0,0206493;10;
616,419;0,0350954;10;
618,253;0,0108325;10;
620,088;0,0297182;10;
621,923;0,0238563;10;
623,757;0,0262663;10;
625,592;0,0218833;10;
627,426;0,0222984;10;
629,261;0,0199248;10;
631,096;0,0283425;10;
632,93;0,0337863;10;
634,765;0,022702;10;
636,599;0,0225979;10;
638,434;0,0220668;10;
640,268;0,0228807;10;
642,103;0,0263873;10;
643,938;0,0283304;10;
645,772;0,0275627;10;
647,607;0,0241917;10;
649,441;0,0289851;10;
651,276;0,0289566;10;
653,11;0,0225305;10;
654,945;0,0259187;10;
656,78;0,0255546;10;
658,614;0,0280465;10;
660,449;0,023297;10;
662,283;0,0345244;10;
664,118;0,0223773;10;
665,953;0,0284683;10;
667,787;0,025351;10;
669,622;0,0215228;10;
671,456;0,0211473;10;
673,291;0,0218844;10;
675,125;0,0188564;10;
676,96;0,0368029;10;
678,795;0,0285418;10;
680,629;0,0213516;10;
682,464;0,0237087;10;
684,298;0,0255111;10;
686,133;0,0233257;10;
687,968;0,0178733;10;
689,802;0,0306651;10;
691,637;0,0282967;10;
693,471;0,0252544;10;
695,306;0,0193998;10;
697,14;0,0290736;10;
698,975;0,0293409;10;
700,81;0,0124624;10;
702,644;0,0220845;10;
704,479;0,0118106;10;
706,313;0,0213526;10;
708,148;0,0248034;10;
709,982;0,0249698;10;
711,817;0,0246485;10;
713,652;0,026191;10;
715,486;0,0254837;10;
717,321;0,0210809;10;
719,155;0,0168307;10;
720,99;0,0229113;10;
722,825;0,0311157;10;
724,659;0,0294176;10;
726,494;0,0199131;10;
728,328;0,0207874;10;
730,163;0,0245204;10;
731,997;0,0217643;10;
733,832;0,0197998;10;
735,667;0,0215094;10;
737,501;0,0192934;10;
739,336;0,0174727;10;
741,17;0,016883;10;
743,005;0,02159;10;
744,839;0,0233435;10;
746,674;0,0284108;10;
748,509;0,0259147;10;
750,343;0,025521;10;
752,178;0,0288802;10;
754,012;0,0277895;10;
755,847;0,0182299;10;
757,682;0,0240798;10;
759,516;0,0222074;10;
761,351;0,0251519;10;
763,185;0,0258771;10;
765,02;0,0246661;10;
766,854;0,0236701;10;
768,689;0,0270884;10;
770,524;0,0204054;10;
772,358;0,029458;10;
774,193;0,0279991;10;
776,027;0,0127866;10;
777,862;0,0159975;10;
779,697;0,0276677;10;
781,531;0,0195467;10;
783,366;0,0113115;10;
785,2;0,027217;10;
787,035;0,0247796;10;
788,869;0,023746;10;
790,704;0,0211554;10;
792,539;0,0226819;10;
794,373;0,0193344;10;
796,208;0,0273072;10;
798,042;0,0185964;10;
799,877;0,023158;10;
801,711;0,010287;10;
803,546;0,0214443;10;
805,381;0,0251067;10;
807,215;0,0117815;10;
809,05;0,0185002;10;
810,884;0,0214956;10;
812,719;0,026207;10;
814,554;0,0291192;10;
816,388;0,0187987;10;
818,223;0,0233408;10;
820,057;0,0233401;10;
821,892;0,0228337;10;
823,726;0,022233;10;
825,561;0,0232276;10;
827,396;0,0186663;10;
829,23;0,0143717;10;
831,065;0,0195444;10;
832,899;0,0212743;10;
834,734;0,010323;10;
836,568;0,0222067;10;
838,403;0,020642;10;
840,238;0,0292674;10;
842,072;0,0143142;10;
843,907;0,0206125;10;
845,741;0,0192089;10;
847,576;0,0190264;10;
849,411;0,0197638;10;
851,245;0,0200198;10;
853,08;0,0260491;10;
854,914;0,01939;10;
856,749;0,0160463;10;
858,583;0,00895378;10;
860,418;0,0253669;10;
862,253;0,015752;10;
864,087;0,0262337;10;
865,922;0,0281267;10;
867,756;0,0157252;10;
869,591;0,0207333;10;
871,426;0,0185191;10;
873,26;0,0206673;10;
875,095;0,0200088;10;
876,929;0,0190943;10;
878,764;0,0203609;10;
880,598;0,0161009;10;
882,433;0,0228065;10;
884,268;0,0194091;10;
886,102;0,0296662;10;
887,937;0,0308794;10;
889,771;0,0316195;10;
891,606;0,0246568;10;
893,44;0,0210864;10;
895,275;0,024432;10;
897,11;0,0195411;10;
898,944;0,0205441;10;
900,779;0,0217177;10;
902,613;0,0204054;10;
904,448;0,0201939;10;
906,283;0,022289;10;
908,117;0,0203297;10;
909,952;0,0240482;10;
911,786;0,0222991;10;
913,621;0,0261891;10;
915,455;0,0198195;10;
917,29;0,0228554;10;
919,125;0,0183114;10;
920,959;0,0145755;10;
922,794;0,0221148;10;
924,628;0,0204297;10;
926,463;0,0149129;10;
928,297;0,0207667;10;
930,132;0,0194279;10;
931,967;0,0193942;10;
933,801;0,0187736;10;
935,636;0,016715;10;
937,47;0,0173015;10;
939,305;0,0117907;10;
941,14;0,0318495;10;
942,974;0,0170989;10;
944,809;0,0283502;10;
946,643;0,0300725;10;
948,478;0,0236021;10;
950,312;0,017234;10;
952,147;0,0221768;10;
953,982;0,0209286;10;
955,816;0,0217769;10;
957,651;0,020802;10;
959,485;0,0214714;10;
961,32;0,0207371;10;
963,155;0,0220733;10;
964,989;0,0189911;10;
966,824;0,024211;10;
968,658;0,0252836;10;
970,493;0,0225346;10;
972,327;0,020121;10;
974,162;0,0147125;10;
975,997;0,0176088;10;
977,831;0,0194449;10;
979,666;0,0197318;10;
981,5;0,0208802;10;
983,335;0,0172553;10;
985,169;0,0190368;10;
987,004;0,0196763;10;
988,839;0,0196069;10;
990,673;0,0145241;10;
992,508;0,0199922;10;
994,342;0,00930483;10;
996,177;0,0237711;10;
998,012;0,019618;10;
999,846;0,0253993;10;
