[mm⁻¹];MTF values[%];MTF 10 values[%];
0;100;10;
1,83458;98,5743;10;
3,66916;82,1763;10;
5,50374;65,8929;10;
7,33832;47,8286;10;
9,1729;33,5325;10;
11,0075;22,6967;10;
12,8421;14,0664;10;
14,6766;6,39575;10;
16,5112;5,63496;10;
18,3458;2,28822;10;
20,1804;3,45846;10;
22,015;2,12215;10;
23,8495;2,23252;10;
25,6841;1,92043;10;
27,5187;0,874358;10;
29,3533;2,15629;10;
31,1879;0,989935;10;
33,0224;1,36561;10;
34,857;1,4105;10;
36,6916;2,73646;10;
38,5262;7,87949;10;
40,3608;4,66587;10;
42,1953;7,13741;10;
44,0299;5,87714;10;
45,8645;4,04016;10;
47,6991;10,7363;10;
49,5337;12,7184;10;
51,3682;10,8852;10;
53,2028;11,7541;10;
55,0374;5,59992;10;
56,872;4,45168;10;
58,7066;9,75341;10;
60,5411;8,76716;10;
62,3757;6,11197;10;
64,2103;5,59851;10;
66,0449;0,944482;10;
67,8795;1,78661;10;
69,714;2,53727;10;
71,5486;0,939983;10;
73,3832;3,30074;10;
75,2178;4,33139;10;
77,0524;1,56092;10;
78,8869;3,13125;10;
80,7215;2,30238;10;
82,5561;0,735143;10;
84,3907;0,558909;10;
86,2253;1,41453;10;
88,0598;0,727471;10;
89,8944;0,564635;10;
91,729;0,340245;10;
93,5636;0,540103;10;
95,3982;0,409885;10;
97,2327;0,359972;10;
99,0673;0,370214;10;
100,902;0,389805;10;
102,736;0,363717;10;
104,571;0,347951;10;
106,406;0,169699;10;
108,24;0,393593;10;
110,075;0,111901;10;
111,909;0,21292;10;
113,744;0,119184;10;
115,579;0,482641;10;
117,413;0,248691;10;
119,248;0,242641;10;
121,082;0,352391;10;
122,917;0,134867;10;
124,751;0,199875;10;
126,586;0,483527;10;
128,421;0,199141;10;
130,255;0,118931;10;
132,09;0,215858;10;
133,924;0,106546;10;
135,759;0,0615449;10;
137,594;0,324056;10;
139,428;0,288179;10;
141,263;0,0980971;10;
143,097;0,301564;10;
144,932;0,295514;10;
146,766;0,130328;10;
148,601;0,0722224;10;
150,436;0,0838619;10;
152,27;0,152297;10;
154,105;0,105804;10;
155,939;0,129942;10;
157,774;0,0841352;10;
159,608;0,176695;10;
161,443;0,0904545;10;
163,278;0,182314;10;
165,112;0,190951;10;
166,947;0,24996;10;
168,781;0,134481;10;
170,616;0,0159843;10;
172,451;0,207965;10;
174,285;0,120665;10;
176,12;0,123917;10;
177,954;0,103651;10;
179,789;0,0886384;10;
181,623;0,098249;10;
183,458;0,0381329;10;
185,293;0,163157;10;
187,127;0,0951602;10;
188,962;0,189354;10;
190,796;0,0709981;10;
192,631;0,0884009;10;
194,465;0,14818;10;
196,3;0,323664;10;
198,135;0,0635887;10;
199,969;0,305631;10;
201,804;0,0653011;10;
203,638;0,119234;10;
205,473;0,112388;10;
207,308;0,0922646;10;
209,142;0,0998198;10;
210,977;0,0618781;10;
212,811;0,0738349;10;
214,646;0,0705172;10;
216,48;0,0791201;10;
218,315;0,0086855;10;
220,15;0,0341563;10;
221,984;0,0587702;10;
223,819;0,072336;10;
225,653;0,0761871;10;
227,488;0,045771;10;
229,323;0,0225087;10;
231,157;0,0528064;10;
232,992;0,0917822;10;
234,826;0,0587418;10;
236,661;0,0501934;10;
238,495;0,0190481;10;
240,33;0,0623684;10;
242,165;0,0614778;10;
243,999;0,0596257;10;
245,834;0,1118;10;
247,668;0,0296689;10;
249,503;0,138443;10;
251,337;0,109903;10;
253,172;0,0263525;10;
255,007;0,0622685;10;
256,841;0,102485;10;
258,676;0,144435;10;
260,51;0,105365;10;
262,345;0,0470013;10;
264,18;0,0290387;10;
266,014;0,0610647;10;
267,849;0,0459781;10;
269,683;0,0482967;10;
271,518;0,0484094;10;
273,352;0,0285109;10;
275,187;0,0696301;10;
277,022;0,0682106;10;
278,856;0,0244041;10;
280,691;0,0667671;10;
282,525;0,10165;10;
284,36;0,0446081;10;
286,194;0,108936;10;
288,029;0,0261332;10;
289,864;0,057743;10;
291,698;0,0546523;10;
293,533;0,0522305;10;
295,367;0,0608228;10;
297,202;0,0797511;10;
299,037;0,0334119;10;
300,871;0,0764027;10;
302,706;0,0598336;10;
304,54;0,0451439;10;
306,375;0,095784;10;
308,209;0,088793;10;
310,044;0,0570489;10;
311,879;0,0324629;10;
313,713;0,0280581;10;
315,548;0,0758604;10;
317,382;0,0400775;10;
319,217;0,0715241;10;
321,052;0,066857;10;
322,886;0,0467317;10;
