[mm⁻¹];MTF values[%];MTF 10 values[%];
431,597;0,0188435;10;
433,352;0,0198318;10;
435,106;0,0181317;10;
436,86;0,0150695;10;
438,615;0,0262178;10;
440,369;0,00918892;10;
442,124;0,00882451;10;
443,878;0,0198895;10;
445,633;0,0207721;10;
447,387;0,019929;10;
449,142;0,0266506;10;
450,896;0,021574;10;
452,651;0,0246829;10;
454,405;0,0136788;10;
456,16;0,0143649;10;
457,914;0,0236227;10;
459,668;0,0181034;10;
461,423;0,0180141;10;
463,177;0,0180062;10;
464,932;0,0161121;10;
466,686;0,0187437;10;
468,441;0,0126447;10;
470,195;0,0182846;10;
471,95;0,0174214;10;
473,704;0,0180694;10;
475,459;0,0170942;10;
477,213;0,0196343;10;
478,967;0,0217016;10;
480,722;0,0212057;10;
482,476;0,0228639;10;
484,231;0,0236348;10;
485,985;0,0197407;10;
487,74;0,0172092;10;
489,494;0,0269984;10;
491,249;0,0211124;10;
