[mm⁻¹];MTF values[%];MTF 10 values[%];
0;100;10;
2,97559;92,4552;10;
5,95119;69,7219;10;
8,92678;47,8673;10;
11,9024;27,2345;10;
14,878;16,8092;10;
17,8536;6,26814;10;
20,8292;5,19559;10;
23,8048;4,76817;10;
26,7804;2,86262;10;
29,7559;1,46997;10;
32,7315;1,87008;10;
35,7071;1,83225;10;
38,6827;1,16514;10;
41,6583;0,454603;10;
44,6339;1,73557;10;
47,6095;1,56356;10;
50,5851;0,373937;10;
53,5607;4,56043;10;
56,5363;5,27262;10;
59,5119;6,61259;10;
62,4875;2,992;10;
65,4631;7,31246;10;
68,4387;1,63737;10;
71,4143;3,08625;10;
74,3899;2,20683;10;
77,3655;4,59067;10;
80,3411;3,22059;10;
83,3167;6,60615;10;
86,2923;11,0565;10;
89,2678;8,16315;10;
92,2434;4,26954;10;
95,219;6,85133;10;
98,1946;4,95804;10;
101,17;7,22914;10;
104,146;2,07633;10;
107,121;2,55902;10;
110,097;4,26514;10;
113,073;2,69746;10;
116,048;2,37195;10;
119,024;0,801875;10;
121,999;2,52971;10;
124,975;1,45271;10;
127,951;1,13165;10;
130,926;0,339529;10;
133,902;0,491476;10;
136,877;0,703284;10;
139,853;0,573645;10;
142,829;0,596371;10;
145,804;0,718273;10;
148,78;0,707507;10;
151,755;0,377778;10;
154,731;0,614756;10;
157,707;0,051504;10;
160,682;0,547891;10;
163,658;0,527334;10;
166,633;0,557835;10;
169,609;0,598629;10;
172,585;0,489171;10;
175,56;0,458808;10;
178,536;0,359505;10;
181,511;0,502316;10;
184,487;0,0658989;10;
187,462;0,512868;10;
190,438;0,510748;10;
193,414;0,347237;10;
196,389;0,525364;10;
199,365;0,0732597;10;
202,34;0,382756;10;
205,316;0,148373;10;
208,292;0,0595643;10;
211,267;0,084116;10;
214,243;0,539483;10;
217,218;0,522472;10;
220,194;0,0692901;10;
223,17;0,120809;10;
226,145;0,26723;10;
229,121;0,21482;10;
232,096;0,128446;10;
235,072;0,115531;10;
238,048;0,139821;10;
241,023;0,231586;10;
243,999;0,397776;10;
246,974;0,224598;10;
249,95;0,346322;10;
252,926;0,242673;10;
255,901;0,0865131;10;
258,877;0,0469839;10;
261,852;0,188094;10;
264,828;0,1547;10;
267,804;0,135605;10;
270,779;0,0799368;10;
273,755;0,187994;10;
276,73;0,0665769;10;
279,706;0,25822;10;
282,681;0,20349;10;
285,657;0,182257;10;
288,633;0,355231;10;
291,608;0,153167;10;
294,584;0,137824;10;
297,559;0,277988;10;
300,535;0,0519142;10;
303,511;0,0769139;10;
306,486;0,162191;10;
309,462;0,191561;10;
312,437;0,210171;10;
315,413;0,126899;10;
318,389;0,10857;10;
321,364;0,110028;10;
324,34;0,137055;10;
327,315;0,100751;10;
330,291;0,23002;10;
333,267;0,046093;10;
336,242;0,169042;10;
339,218;0,0929401;10;
342,193;0,174842;10;
345,169;0,111082;10;
348,145;0,0901984;10;
351,12;0,170301;10;
354,096;0,124205;10;
357,071;0,130914;10;
360,047;0,152597;10;
363,023;0,0668003;10;
365,998;0,145465;10;
368,974;0,161394;10;
371,949;0,141559;10;
374,925;0,119882;10;
377,901;0,0833172;10;
380,876;0,184204;10;
383,852;0,0817048;10;
386,827;0,0684379;10;
389,803;0,0642685;10;
392,779;0,0597774;10;
395,754;0,096741;10;
398,73;0,0880123;10;
401,705;0,0887728;10;
404,681;0,0969548;10;
407,656;0,105765;10;
410,632;0,0777241;10;
413,608;0,102661;10;
416,583;0,141909;10;
419,559;0,0658588;10;
422,534;0,120309;10;
425,51;0,0651799;10;
428,486;0,080664;10;
431,461;0,0389577;10;
434,437;0,0456589;10;
437,412;0,0891567;10;
440,388;0,0724693;10;
443,364;0,0658607;10;
446,339;0,079757;10;
449,315;0,089783;10;
452,29;0,0583866;10;
455,266;0,0206002;10;
458,242;0,0819674;10;
461,217;0,0997213;10;
464,193;0,0286061;10;
467,168;0,0355329;10;
470,144;0,151895;10;
473,12;0,0265419;10;
476,095;0,0805056;10;
479,071;0,0798716;10;
482,046;0,0614515;10;
485,022;0,075095;10;
487,998;0,0716045;10;
490,973;0,0701257;10;
493,949;0,0567243;10;
496,924;0,100487;10;
499,9;0,119029;10;
502,876;0,0886332;10;
505,851;0,0627332;10;
508,827;0,121661;10;
511,802;0,0282586;10;
514,778;0,0557804;10;
517,753;0,0857968;10;
520,729;0,0628524;10;
523,705;0,0619442;10;
526,68;0,0700726;10;
529,656;0,0632668;10;
532,631;0,0657756;10;
535,607;0,0585815;10;
538,583;0,0927195;10;
541,558;0,0663378;10;
544,534;0,0699741;10;
547,509;0,107299;10;
550,485;0,0595237;10;
553,461;0,0714077;10;
556,436;0,0488388;10;
559,412;0,0947878;10;
562,387;0,0481136;10;
565,363;0,0459295;10;
568,339;0,0478789;10;
571,314;0,0457384;10;
574,29;0,0473966;10;
577,265;0,0643666;10;
580,241;0,0697204;10;
583,217;0,0638237;10;
586,192;0,0556243;10;
589,168;0,0236261;10;
592,143;0,0699689;10;
595,119;0,0261227;10;
598,095;0,0603138;10;
601,07;0,0728413;10;
604,046;0,0796385;10;
607,021;0,0635168;10;
609,997;0,0595013;10;
612,973;0,0740292;10;
615,948;0,0732608;10;
618,924;0,0584398;10;
621,899;0,0491028;10;
624,875;0,0527766;10;
627,85;0,0657202;10;
630,826;0,0788976;10;
633,802;0,0686861;10;
636,777;0,0468584;10;
639,753;0,0513245;10;
642,728;0,0466701;10;
645,704;0,0502556;10;
648,68;0,0515921;10;
651,655;0,047275;10;
654,631;0,0429723;10;
657,606;0,0489486;10;
660,582;0,0745289;10;
663,558;0,0275621;10;
666,533;0,0422406;10;
669,509;0,0399708;10;
672,484;0,0454871;10;
675,46;0,0567556;10;
678,436;0,0531736;10;
681,411;0,0495219;10;
684,387;0,0431558;10;
687,362;0,0488239;10;
690,338;0,0457273;10;
693,314;0,0468069;10;
696,289;0,055664;10;
699,265;0,0385261;10;
702,24;0,0630329;10;
705,216;0,0545752;10;
708,192;0,0400087;10;
711,167;0,0584428;10;
714,143;0,044339;10;
717,118;0,0292575;10;
720,094;0,014025;10;
723,07;0,0149276;10;
726,045;0,0481436;10;
729,021;0,0419769;10;
731,996;0,0488625;10;
734,972;0,0440587;10;
737,948;0,0438752;10;
740,923;0,0523359;10;
743,899;0,0589756;10;
746,874;0,0399004;10;
749,85;0,0639435;10;
752,826;0,0486949;10;
755,801;0,0678918;10;
758,777;0,027029;10;
761,752;0,0447715;10;
764,728;0,0307622;10;
767,703;0,0541202;10;
770,679;0,0293804;10;
773,655;0,034401;10;
776,63;0,0379082;10;
779,606;0,0421536;10;
782,581;0,0313176;10;
785,557;0,0379601;10;
788,533;0,0401185;10;
791,508;0,0447797;10;
794,484;0,0526832;10;
797,459;0,0625692;10;
800,435;0,0379324;10;
803,411;0,0351736;10;
806,386;0,0375473;10;
809,362;0,0288839;10;
812,337;0,0366806;10;
815,313;0,0341858;10;
818,289;0,0338907;10;
821,264;0,0322028;10;
824,24;0,0347362;10;
827,215;0,0480114;10;
830,191;0,0362812;10;
833,167;0,0478015;10;
836,142;0,0420283;10;
839,118;0,0559546;10;
842,093;0,0402871;10;
845,069;0,0303599;10;
848,044;0,0548883;10;
851,02;0,0369412;10;
853,996;0,0347499;10;
856,971;0,0350191;10;
859,947;0,0343315;10;
862,922;0,032094;10;
865,898;0,0274661;10;
868,874;0,0210703;10;
871,849;0,037659;10;
874,825;0,0503686;10;
877,8;0,0379874;10;
880,776;0,0658724;10;
883,752;0,0383991;10;
886,727;0,0243119;10;
889,703;0,0252729;10;
892,678;0,0308706;10;
895,654;0,0369836;10;
898,63;0,0504297;10;
901,605;0,0373917;10;
904,581;0,0382922;10;
907,556;0,0404026;10;
910,532;0,0349628;10;
913,508;0,0395329;10;
916,483;0,0391821;10;
919,459;0,0369672;10;
922,434;0,0345316;10;
925,41;0,0242678;10;
928,386;0,0444343;10;
931,361;0,0433345;10;
934,337;0,0354751;10;
937,312;0,0421469;10;
940,288;0,0391753;10;
943,264;0,0345361;10;
946,239;0,0367674;10;
949,215;0,0389857;10;
952,19;0,0377959;10;
955,166;0,0298526;10;
958,142;0,0283581;10;
961,117;0,0414274;10;
964,093;0,0342453;10;
967,068;0,0353329;10;
970,044;0,0342835;10;
973,019;0,0413792;10;
975,995;0,0472529;10;
978,971;0,0302309;10;
981,946;0,0332709;10;
984,922;0,0308592;10;
987,897;0,0310291;10;
990,873;0,0267616;10;
993,849;0,0310539;10;
996,824;0,0443811;10;
999,8;0,0303229;10;
