Distance to edge[mm];ERF values;PSF values;
-0,167938;0;0,131968;
-0,167784;0,00139213;0,14186;
-0,16763;0,00181589;0,151176;
-0,167477;0,00115952;0,16027;
-0,167323;0,00205871;0,169103;
-0,16717;0,00190993;0,177281;
-0,167016;0,00309926;0,185049;
-0,166862;0,00418525;0,19174;
-0,166709;0,00397785;0,197713;
-0,166555;0,00475165;0,203279;
-0,166402;0,00615607;0,208448;
-0,166248;0,00678506;0,2129;
-0,166094;0,00776853;0,217229;
-0,165941;0,00842344;0,221486;
-0,165787;0,00874214;0,224328;
-0,165634;0,00865307;0,226596;
-0,16548;0,0092294;0,227603;
-0,165326;0,00996409;0,227997;
-0,165173;0,0119905;0,226995;
-0,165019;0,0121798;0,225426;
-0,164866;0,0118527;0,223201;
-0,164712;0,0124268;0,219973;
-0,164559;0,0123696;0,216294;
-0,164405;0,0104326;0,211417;
-0,164251;0,0101138;0,205732;
-0,164098;0,0109627;0,198939;
-0,163944;0,0113588;0,191451;
-0,163791;0,0114257;0,182836;
-0,163637;0,0119981;0,17399;
-0,163483;0,0112177;0,164653;
-0,16333;0,0112918;0,154675;
-0,163176;0,0118676;0,143552;
-0,163023;0,0117572;0,132553;
-0,162869;0,012611;0,122324;
-0,162715;0,0120329;0,112355;
-0,162562;0,0123903;0,102521;
-0,162408;0,0118083;0,093258;
-0,162255;0,0127893;0,0842453;
-0,162101;0,0129063;0,0754669;
-0,161947;0,0125893;0,0671903;
-0,161794;0,0130422;0,0598166;
-0,16164;0,0128216;0,0528492;
-0,161487;0,0131496;0,0459149;
-0,161333;0,0130855;0,0399643;
-0,161179;0,0127828;0,0344386;
-0,161026;0,0129974;0,0288354;
-0,160872;0,0131559;0,0236726;
-0,160719;0,0133467;0,019447;
-0,160565;0,0124428;0,0169484;
-0,160411;0,0127163;0,015049;
-0,160258;0,0129974;0,0133075;
-0,160104;0,0120548;0,0127907;
-0,159951;0,0112457;0,0125022;
-0,159797;0,011488;0,0131926;
-0,159643;0,0110906;0,0151306;
-0,15949;0,0102186;0,0176341;
-0,159336;0,00875235;0,0204;
-0,159183;0,00904991;0,0234136;
-0,159029;0,00851026;0,02615;
-0,158875;0,00726997;0,030122;
-0,158722;0,00689951;0,0343125;
-0,158568;0,00596555;0,0383866;
-0,158415;0,00613719;0,0428397;
-0,158261;0,00534279;0,0488542;
-0,158108;0,00476222;0,0553605;
-0,157954;0,00358661;0,0625569;
-0,1578;0,00426927;0,0705185;
-0,157647;0,00436321;0,0787346;
-0,157493;0,0040306;0,0871171;
-0,15734;0,00538218;0,0956439;
-0,157186;0,00631171;0,104495;
-0,157032;0,00645887;0,11249;
-0,156879;0,00576492;0,121074;
-0,156725;0,00556592;0,129447;
-0,156572;0,00635851;0,137887;
-0,156418;0,00630593;0,145331;
-0,156264;0,00608028;0,151902;
-0,156111;0,00619021;0,158022;
-0,155957;0,00663276;0,163659;
-0,155804;0,00728515;0,169246;
-0,15565;0,00664992;0,174033;
-0,155496;0,00743718;0,178152;
-0,155343;0,00836166;0,181166;
-0,155189;0,00868252;0,183578;
-0,155036;0,0110055;0,185806;
-0,154882;0,0115656;0,187745;
-0,154728;0,0114416;0,18888;
-0,154575;0,011518;0,188896;
-0,154421;0,0121631;0,188853;
-0,154268;0,0126877;0,188245;
-0,154114;0,0124071;0,186968;
-0,15396;0,0129541;0,184918;
-0,153807;0,0126884;0,182086;
-0,153653;0,012213;0,1787;
-0,1535;0,0130426;0,174905;
-0,153346;0,0136827;0,17073;
-0,153192;0,0141219;0,166401;
-0,153039;0,0136242;0,161422;
-0,152885;0,0125108;0,155474;
-0,152732;0,0131624;0,148426;
-0,152578;0,0133512;0,141449;
-0,152424;0,0134188;0,134699;
-0,152271;0,0140002;0,127876;
-0,152117;0,0146754;0,120863;
-0,151964;0,0137882;0,114174;
-0,15181;0,0128933;0,108151;
-0,151656;0,012808;0,102119;
-0,151503;0,0121449;0,0959046;
-0,151349;0,0128425;0,0899959;
-0,151196;0,0125127;0,0836113;
-0,151042;0,0131615;0,0774842;
-0,150889;0,0124871;0,0716686;
-0,150735;0,011627;0,0671476;
-0,150581;0,0116756;0,0635518;
-0,150428;0,0122352;0,0607621;
-0,150274;0,0137555;0,0580399;
-0,150121;0,0131417;0,0564528;
-0,149967;0,0131995;0,0551606;
-0,149813;0,013062;0,0551258;
-0,14966;0,0130526;0,0549126;
-0,149506;0,013489;0,0557746;
-0,149353;0,0139652;0,057398;
-0,149199;0,0141212;0,0592992;
-0,149045;0,0139141;0,0621987;
-0,148892;0,0131619;0,0638881;
-0,148738;0,01294;0,065685;
-0,148585;0,0129779;0,0675845;
-0,148431;0,0126875;0,0699306;
-0,148277;0,0117743;0,0733017;
-0,148124;0,010683;0,0770136;
-0,14797;0,0108951;0,0800623;
-0,147817;0,011184;0,0843549;
-0,147663;0,0100737;0,0884699;
-0,147509;0,00921902;0,0923597;
-0,147356;0,00881044;0,0963912;
-0,147202;0,00892416;0,0995248;
-0,147049;0,00800908;0,102465;
-0,146895;0,00836672;0,10587;
-0,146741;0,0100357;0,11005;
-0,146588;0,00962389;0,114271;
-0,146434;0,00973121;0,118743;
-0,146281;0,0092332;0,123708;
-0,146127;0,0100255;0,127428;
-0,145973;0,0102427;0,130797;
-0,14582;0,010958;0,133851;
-0,145666;0,0109137;0,136805;
-0,145513;0,0117794;0,139406;
-0,145359;0,0127057;0,141872;
-0,145205;0,0130771;0,143387;
