Distance to edge[mm];ERF values;PSF values;
-0,28448;0,000914821;0,0890898;
-0,283464;0;0,0985535;
-0,282448;0,00181701;0,105648;
-0,281432;0,00314078;0,111652;
-0,280416;0,00402385;0,116763;
-0,2794;0,00520071;0,119551;
-0,278384;0,00761611;0,119428;
-0,277368;0,00843296;0,116645;
-0,276352;0,00917444;0,111276;
-0,275336;0,00773256;0,104241;
-0,27432;0,00845972;0,0946967;
-0,273304;0,00838147;0,0823303;
-0,272288;0,00874527;0,0692232;
-0,271272;0,00893797;0,0572166;
-0,270256;0,00925891;0,0455706;
-0,26924;0,0094758;0,0349875;
-0,268224;0,010081;0,0271611;
-0,267208;0,00793567;0,0220774;
-0,266192;0,00780862;0,0219967;
-0,265176;0,00756375;0,0247137;
-0,26416;0,00657464;0,0291752;
-0,263144;0,00560393;0,0355627;
-0,262128;0,00507088;0,0427412;
-0,261112;0,00435434;0,0493965;
-0,260096;0,00348765;0,0560574;
-0,25908;0,00295789;0,0615621;
-0,258064;0,00297251;0,0680071;
-0,257048;0,00392107;0,0739788;
-0,256032;0,00605436;0,0793431;
-0,255016;0,00678746;0,0831224;
-0,254;0,00730237;0,0859855;
-0,252984;0,00819733;0,0864412;
-0,251968;0,00842137;0,0852007;
-0,250952;0,00903738;0,0823086;
-0,249936;0,00909445;0,0788507;
-0,24892;0,00830085;0,0749377;
-0,247904;0,00826181;0,0696831;
-0,246888;0,00814337;0,0644147;
-0,245872;0,00846151;0,058686;
-0,244856;0,00785146;0,0526552;
-0,24384;0,00725521;0,0473281;
-0,242824;0,00714922;0,043794;
-0,241808;0,00744938;0,0420174;
-0,240792;0,00689255;0,0431922;
-0,239776;0,0069085;0,0475463;
-0,23876;0,00731103;0,0529711;
-0,237744;0,00706068;0,0604711;
-0,236728;0,00787909;0,0703814;
-0,235712;0,00804601;0,0798865;
-0,234696;0,00714744;0,0894559;
-0,23368;0,00818121;0,0978132;
-0,232664;0,00756237;0,103771;
-0,231648;0,00770093;0,109633;
-0,230632;0,00759639;0,114632;
-0,229616;0,00849981;0,116965;
-0,2286;0,00966419;0,11761;
-0,227584;0,0109616;0,117125;
-0,226568;0,0124148;0,116457;
-0,225552;0,0147216;0,113499;
-0,224536;0,0163221;0,108109;
-0,22352;0,0168395;0,102376;
-0,222504;0,0172558;0,0962901;
-0,221488;0,0171648;0,0895829;
-0,220472;0,0159836;0,082766;
-0,219456;0,0159848;0,0743829;
-0,21844;0,0155166;0,0662076;
-0,217424;0,0150777;0,0598544;
-0,216408;0,0159061;0,053692;
-0,215392;0,0155072;0,0487969;
-0,214376;0,0147687;0,0451475;
-0,21336;0,0156874;0,0423809;
-0,212344;0,0152381;0,0409937;
-0,211328;0,0150519;0,0422966;
-0,210312;0,014014;0,0444703;
-0,209296;0,014569;0,0479509;
-0,20828;0,0152495;0,0512634;
-0,207264;0,0152909;0,0544939;
-0,206248;0,0150437;0,0570362;
-0,205232;0,0146476;0,0599119;
-0,204216;0,0145947;0,0624539;
-0,2032;0,0150752;0,0647241;
-0,202184;0,0147057;0,0677222;
-0,201168;0,014283;0,0706285;
-0,200152;0,0135173;0,0744914;
-0,199136;0,0136727;0,0776661;
-0,19812;0,0138001;0,0800443;
-0,197104;0,0154428;0,0828943;
-0,196088;0,0165556;0,0846234;
-0,195072;0,0162901;0,0865842;
-0,194056;0,0174263;0,0882132;
